customer_tweet_id,customer_text,intent,candidate_theme
1864994,"Just bought my @115858 #iphone7 and, in less than a month, the lightning port adapter is broken. What a pain @AppleSupport #ThatDidntLastLong https://t.co/baymueAkEC",NEEDS_REVIEW,device_setup
1642607,@502093 @123765 Oh well then @115858 fix my phone,NEEDS_REVIEW,device_setup
1579786,So the yall release the iPhone X then anytime I️ type the letter “I” this shit pops up. @AppleSupport @115858 @AppleSupport fix your shit https://t.co/pSZFwDthSu,NEEDS_REVIEW,device_setup
793989,"@115858 needs to fix this auto brightness, I hate that shit. I like my phone dark and I like saving my battery especially on long work days.",NEEDS_REVIEW,device_setup
663892,@AppleSupport It just started when i updated my phone. I use Spotify and pandora for music but videos i watch on YouTube also pause.,NEEDS_REVIEW,device_setup
1556356,Hey @115858 the new update fucked me phone up. Fix it. I can’t buy a new one https://t.co/IErGhf7EWo,NEEDS_REVIEW,device_setup
188326,"@AppleSupport iPhone 5S refuses to upgrade from 11.0.1 to 11.0.2. Hit “download and install,” it asks for pin, circles, then      stops. https://t.co/nHIssucZxj",NEEDS_REVIEW,device_setup
1782465,"@115858 iPhone7 has a static kind of noise when I film a video, could it be a problem with the updates or just my phone❓",NEEDS_REVIEW,device_setup
1684478,@116333 Not Happy with IOS 11.1. Why can’t apple provide Only security updates instead of feature update? All IOS update makes device slow,NEEDS_REVIEW,device_setup
2432878,"Hey guys, hey @115858, I just blew $35 on this 2 m charging cord. Last week. This is the third time. If you are going to charge me $35 plus shipping for a charger for my $1,000 phone, can you maybe. Not. Produce. Garbage. So I can continue to be a dedicated customer maybe? 🙄",NEEDS_REVIEW,device_setup
1133548,@115858 iOS 11.1 iPhone 6s weird spilt screen during calls. Any fix? https://t.co/BrkayX29qh,NEEDS_REVIEW,device_setup
2962931,@115858 get your S#%T together! I’m not buying a NEW iPhone because your software won’t work on the 7+ I have!! #Apple #nottoday,NEEDS_REVIEW,device_setup
