customer_tweet_id,customer_text,candidate_theme,intent
1864994,"Just bought my @115858 #iphone7 and, in less than a month, the lightning port adapter is broken. What a pain @AppleSupport #ThatDidntLastLong https://t.co/baymueAkEC",device_setup,ios_update
1642607,@502093 @123765 Oh well then @115858 fix my phone,device_setup,ios_update
1579786,So the yall release the iPhone X then anytime I️ type the letter “I” this shit pops up. @AppleSupport @115858 @AppleSupport fix your shit https://t.co/pSZFwDthSu,device_setup,ios_update
793989,"@115858 needs to fix this auto brightness, I hate that shit. I like my phone dark and I like saving my battery especially on long work days.",device_setup,ios_update
663892,@AppleSupport It just started when i updated my phone. I use Spotify and pandora for music but videos i watch on YouTube also pause.,device_setup,battery_and_performance
1556356,Hey @115858 the new update fucked me phone up. Fix it. I can’t buy a new one https://t.co/IErGhf7EWo,device_setup,battery_and_performance
188326,"@AppleSupport iPhone 5S refuses to upgrade from 11.0.1 to 11.0.2. Hit “download and install,” it asks for pin, circles, then      stops. https://t.co/nHIssucZxj",device_setup,ios_update
1782465,"@115858 iPhone7 has a static kind of noise when I film a video, could it be a problem with the updates or just my phone❓",device_setup,keyboard_and_typing
1684478,@116333 Not Happy with IOS 11.1. Why can’t apple provide Only security updates instead of feature update? All IOS update makes device slow,device_setup,hardware_and_device
2432878,"Hey guys, hey @115858, I just blew $35 on this 2 m charging cord. Last week. This is the third time. If you are going to charge me $35 plus shipping for a charger for my $1,000 phone, can you maybe. Not. Produce. Garbage. So I can continue to be a dedicated customer maybe? 🙄",device_setup,ios_update
1133548,@115858 iOS 11.1 iPhone 6s weird spilt screen during calls. Any fix? https://t.co/BrkayX29qh,device_setup,keyboard_and_typing
2962931,@115858 get your S#%T together! I’m not buying a NEW iPhone because your software won’t work on the 7+ I have!! #Apple #nottoday,device_setup,battery_and_performance
2680180,Why can’t @115858 fix their updates so I don’t have to setup Hey Siri every fucking time! With the amount of updates being pushed as well it’s truly annoying,device_setup,battery_and_performance
1212780,@AppleSupport my phone keeps freezing apps force closing and camera moves slow on facetime,device_setup,keyboard_and_typing
